County,Year,AvgAnnualPay,Jobs,Households,WageWt,JobsWt,HHWt,Yintercept,CalMedHHPrice,ObsMedHHPrice,PerDiff,LoanAmt,MnthlyMort,MthlyTax,MnthlyIns,MnthlyHHCost,QualifyingIncome,PerWageChng,PerJobsChng,PerHHChng,PerMedianHHChange
San Mateo,2035,171533,444708,308942,2.71,1.43,28.85,-7313955,2699809,0,0,2159847,8027,2250,855,11132,445289,9.84,7.25,1.94,10.41
San Mateo,2040,186905,467908,318539,2.71,1.43,28.85,-7313955,3051516,0,0,2441213,9073,2543,966,12582,503297,8.96,5.22,3.11,13.03
Santa Clara,2015,113390,1017071,627029,-2.0716,0.6406,7.17,-4026236,886199,951000,7%,708959,2635,738,281,3654,146164,0,0,0,0
Santa Clara,2020,135872,1061749,676709,-2.0716,0.6406,7.17,-4026236,1224452,0,0,979561,3641,1020,388,5049,201953,19.83,4.39,7.92,38.17
Santa Clara,2025,151986,1103472,715884,-2.0716,0.6406,7.17,-4026236,1498682,0,0,1198946,4456,1249,475,6180,247183,11.86,3.93,5.79,22.40
Santa Clara,2030,168099,1137141,754945,-2.0716,0.6406,7.17,-4026236,1766938,0,0,1413551,5254,1472,560,7286,291427,10.60,3.05,5.46,17.90
Santa Clara,2035,184212,1184309,809183,-2.0716,0.6406,7.17,-4026236,2152661,0,0,1722129,6401,1794,682,8876,355046,9.59,4.15,7.18,21.83
Santa Clara,2040,200326,1241969,854434,-2.0716,0.6406,7.17,-4026236,2480666,0,0,1984533,7376,2067,786,10229,409145,8.75,4.87,5.59,15.24
Solano,2015,53453,130980,146051,1.51,13.38,-9.84,-122523,273562,349000,22%,218849,813,228,87,1128,45119,0,0,0,0
Solano,2020,60414,138620,145898,1.51,13.38,-9.84,-122523,387801,0,0,310241,1153,323,123,1599,63961,13.02,5.83,-0.10,41.76
Solano,2025,66892,142095,153199,1.51,13.38,-9.84,-122523,372237,0,0,297789,1107,310,118,1535,61394,10.72,2.51,5.00,-4.01
Solano,2030,73370,145951,159396,1.51,13.38,-9.84,-122523,372633,0,0,298107,1108,311,118,1536,61460,9.68,2.71,4.05,0.11
Solano,2035,79848,148190,163381,1.51,13.38,-9.84,-122523,373161,0,0,298529,1110,311,118,1539,61547,8.83,1.53,2.50,0.14
Solano,2040,86326,149522,169388,1.51,13.38,-9.84,-122523,341656,0,0,273325,1016,285,108,1409,56350,8.11,0.90,3.68,-8.44
Sonoma,2015,49398,197218,189418,25.9,3.77,-13.39,1071492,558105,529750,-5%,446484,1659,465,177,2301,92050,0,0,0,0
Sonoma,2020,55316,227570,190660,25.9,3.77,-13.39,1071492,809178,0,0,647342,2406,674,256,3337,133461,11.98,15.39,0.66,44.99
Sonoma,2025,60813,232793,200508,25.9,3.77,-13.39,1071492,839376,0,0,671501,2496,699,266,3461,138441,9.94,2.30,5.17,3.73
Sonoma,2030,66309,238738,211103,25.9,3.77,-13.39,1071492,862268,0,0,689815,2564,719,273,3555,142217,9.04,2.55,5.28,2.73
Sonoma,2035,71806,242723,216155,25.9,3.77,-13.39,1071492,952018,0,0,761614,2831,793,301,3925,157020,8.29,1.67,2.39,10.41
Sonoma,2040,77302,243585,219060,25.9,3.77,-13.39,1071492,1058716,0,0,846973,3148,882,335,4365,174618,7.65,0.36,1.34,11.21
