County,TotalPop,HouseholdPop,HouseholdSize,EstHouseholds,Year
San Mateo,700350,690736,2.691165241,256668,2005
Santa Clara,1698234,1668928,2.839766615,587699,2005
Solano,410985,395978,2.868096449,138063,2005
Sonoma,469734,458580,2.555261472,179465,2005
Alameda,1462371,1428870,2.660763666,537015,2006
Contra Costa,1007169,996493,2.708759426,367878,2006
Marin,246969,236788,2.305583143,102702,2006
Napa,131330,126224,2.608203327,48395,2006
San Francisco,781295,759122,2.256585108,336403,2006
San Mateo,699347,689764,2.691320837,256292,2006
Santa Clara,1706676,1676710,2.834353505,591567,2006
Solano,410964,396377,2.830475796,140039,2006
Sonoma,469751,459124,2.535994211,181043,2006
Alameda,1470622,1435838,2.664109872,538956,2007
Contra Costa,1015672,1005005,2.70484016,371558,2007
Marin,248025,238229,2.308085065,103215,2007
Napa,132537,127454,2.613744027,48763,2007
San Francisco,787127,764613,2.258847198,338497,2007
San Mateo,701838,692291,2.688634033,257488,2007
Santa Clara,1725066,1694753,2.846444281,595393,2007
Solano,411998,397686,2.830948618,140478,2007
Sonoma,471479,460863,2.52786691,182313,2007
Alameda,1484085,1448546,2.672954106,541927,2008
Contra Costa,1027264,1016707,2.717254595,374167,2008
Marin,249546,239887,2.32302329,103265,2008
Napa,133969,128504,2.625799465,48939,2008
San Francisco,795002,771409,2.264480884,340656,2008
San Mateo,707820,698546,2.707479671,258006,2008
Santa Clara,1747912,1717127,2.862398336,599891,2008
Solano,412908,398700,2.825775724,141094,2008
Sonoma,474819,464156,2.518152818,184324,2008
Alameda,1497799,1461800,2.687680758,543889,2009
Contra Costa,1038390,1027937,2.739653045,375207,2009
Marin,250760,241147,2.334569288,103294,2009
Napa,135225,130154,2.659243217,48944,2009
San Francisco,800239,776375,2.261861755,343246,2009
San Mateo,713818,704692,2.730771615,258056,2009
Santa Clara,1767204,1736333,2.88170353,602537,2009
Solano,412832,399669,2.836382604,140908,2009
Sonoma,478622,468213,2.52881702,185151,2009
Alameda,1509240,1472324,2.701568289,544988.6298,2010
Contra Costa,1047948,1037605,2.766605252,375046.2771,2010
Marin,252279,243105,2.352171683,103353.4251,2010
Napa,136316,131379,2.686467365,48904,2010
San Francisco,804989,780786,2.259519496,345554,2010
